1.674326605399047319e+00 1.615240717856136765e+00 6.923692857199054140e-01
-4.224401470277849846e-01 8.025571013224286343e-01 6.499690469980385910e-01
1.358521548584757044e+00 2.165912171292590394e+00 -7.596579083059367132e-01
2.245333983426541113e+00 4.631395281856603319e+00 1.579994050928046567e+00
-5.177490257698962317e-01 1.863475793731020458e+00 2.113316160157950208e+00
-7.086924093902666755e-01 3.326077509991050007e+00 2.104764973006357121e+00
1.631429373317210718e+00 1.434473160621946963e+00 6.100462175676534926e+00
4.462257492939579739e-01 -7.618621874231225055e-01 1.902601314450093728e+00
-1.196898775914113866e+00 9.075556515199625363e-01 3.374132615137564351e+00
-1.525482672622475722e+00 2.529332196473855765e-01 4.486632907724507291e+00
1.695991240279991263e+00 1.412265594361733267e+00 3.319115418239467097e+00
2.835791596030826645e-01 -1.015691904310626059e+00 2.035394876436194433e+00
